COMMAND     PID                 USER   FD      TYPE             DEVICE  SIZE/OFF                NODE NAME
python3.1 20957 borjafernandezangulo  txt       REG               1,13  38415440           361690343 /Users/borjafernandezangulo/10_PROJECTS/cortex-persist/.venv/lib/python3.12/site-packages/grpc/_cython/cygrpc.cpython-312-darwin.so
python3.1 20957 borjafernandezangulo  txt       REG               1,13    653536           365335720 /Users/borjafernandezangulo/10_PROJECTS/cortex-persist/.venv/lib/python3.12/site-packages/PIL/.dylibs/libjpeg.62.4.0.dylib
python3.1 20957 borjafernandezangulo  txt       REG               1,13    158384           361679628 /Users/borjafernandezangulo/10_PROJECTS/cortex-persist/.venv/lib/python3.12/site-packages/propcache/_helpers_c.cpython-312-darwin.so
python3.1 20957 borjafernandezangulo  txt       REG               1,13    916320           361671478 /Users/borjafernandezangulo/10_PROJECTS/cortex-persist/.venv/lib/python3.12/site-packages/watchfiles/_rust_notify.cpython-312-darwin.so
python3.1 20957 borjafernandezangulo  txt       REG               1,13    277664           365335719 /Users/borjafernandezangulo/10_PROJECTS/cortex-persist/.venv/lib/python3.12/site-packages/PIL/.dylibs/libxcb.1.1.0.dylib
python3.1 20957 borjafernandezangulo  txt       REG               1,13     16760           361699946 /Users/borjafernandezangulo/10_PROJECTS/cortex-persist/.venv/lib/python3.12/site-packages/torch/lib/libtorch_global_deps.dylib
python3.1 20957 borjafernandezangulo  txt       REG               1,13    770432           365335732 /Users/borjafernandezangulo/10_PROJECTS/cortex-persist/.venv/lib/python3.12/site-packages/PIL/.dylibs/libtiff.6.dylib
python3.1 20957 borjafernandezangulo  txt       REG               1,13    666432           365335724 /Users/borjafernandezangulo/10_PROJECTS/cortex-persist/.venv/lib/python3.12/site-packages/PIL/.dylibs/libopenjp2.2.5.4.dylib
python3.1 20957 borjafernandezangulo  txt       REG               1,13    325120           365335730 /Users/borjafernandezangulo/10_PROJECTS/cortex-persist/.venv/lib/python3.12/site-packages/PIL/.dylibs/liblzma.5.dylib
python3.1 20957 borjafernandezangulo  txt       REG               1,13     97328           354017721 /Users/borjafernandezangulo/10_PROJECTS/cortex-persist/.venv/lib/python3.12/site-packages/numpy/random/_sfc64.cpython-312-darwin.so
python3.1 20957 borjafernandezangulo  txt       REG               1,13     16752           361699945 /Users/borjafernandezangulo/10_PROJECTS/cortex-persist/.venv/lib/python3.12/site-packages/torch/lib/libtorch.dylib
python3.1 20957 borjafernandezangulo  txt       REG               1,13    144864           361671723 /Users/borjafernandezangulo/10_PROJECTS/cortex-persist/.venv/lib/python3.12/site-packages/frozenlist/_frozenlist.cpython-312-darwin.so
python3.1 20957 borjafernandezangulo  txt       REG               1,13    127776           361679156 /Users/borjafernandezangulo/10_PROJECTS/cortex-persist/.venv/lib/python3.12/site-packages/hiredis/hiredis.cpython-312-darwin.so
